id,title,recipient,amount_usd,date,grantmaker,category,focus_area,fund,is_residual,country,topics,funders,url,description
gw-00012,"Survey of Net Usage, Coverage, and Malaria Burden",Marakuja Asbl,163087,2025-10-28,GiveWell,GH,Global Health & Development,All Grants Fund,,Democratic Republic of the Congo,Malaria; Insecticide-treated nets (ITNs); Research,All Grants Fund,,"Survey of Net Usage, Coverage, and Malaria Burden. Country: Democratic Republic of the Congo. Topics: Malaria,Insecticide-treated nets (ITNs),Research. Funded by: All Grants Fund"
gw-00013,Evaluation of Evidence Action's In-Line Chlorination Program in India,The Aquaya Institute,165750,2025-10-24,GiveWell,GH,Global Health & Development,Board Designated,,India,Chlorination; Water; Monitoring and evaluation,Board Designated,,"Evaluation of Evidence Action's In-Line Chlorination Program in India. Country: India. Topics: Chlorination,Water,Monitoring and evaluation. Funded by: Board Designated"
gw-00014,"Chlorine Dispensers Pilot in Tigray, Ethiopia",Catholic Relief Services - United States Conference of Catholic Bishops,505420,2025-10-22,GiveWell,GH,Global Health & Development,Board Designated,,Ethiopia,Chlorination; Water,Board Designated,,"Chlorine Dispensers Pilot in Tigray, Ethiopia. Country: Ethiopia. Topics: Chlorination,Water. Funded by: Board Designated"
gw-00015,Iron and Folic Acid (IFA) Coverage Surveys,Evidence Action,369038,2025-10-09,GiveWell,GH,Global Health & Development,Board Designated,,India,Nutrition; Iron; Supplementation,Board Designated,,"Iron and Folic Acid (IFA) Coverage Surveys. Country: India. Topics: Nutrition,Iron,Supplementation. Funded by: Board Designated"
gw-00016,"Seasonal Malaria Chemoprevention in Borno State, Nigeria",Malaria Consortium,6359008,2025-10-09,GiveWell,GH,Global Health & Development,Top Charities Fund,,Nigeria,Malaria; Seasonal malaria chemoprevention (SMC),Top Charities Fund; Effective Altruism Australia; Effective Altruism New Zealand; Giv Effektivt,,"Seasonal Malaria Chemoprevention in Borno State, Nigeria. Country: Nigeria. Topics: Malaria,Seasonal malaria chemoprevention (SMC). Funded by: Top Charities Fund,Effective Altruism Australia,Effective Altruism New Zealand,Giv Effektivt"
gw-00017,Survey of Consumers of Fortify Health's Open-Market Fortified Wheat Flour,ID Insight Inc,276986,2025-10-07,GiveWell,GH,Global Health & Development,Board Designated,,India,Nutrition; Fortification,Board Designated,,"Survey of Consumers of Fortify Health's Open-Market Fortified Wheat Flour. Country: India. Topics: Nutrition,Fortification. Funded by: Board Designated"
gw-00018,Qualitative Surveys on the Closeout of IRD's mCCT Program,Acasus AG,100725,2025-10-03,GiveWell,GH,Global Health & Development,Operating Funds,,Pakistan,Cash transfers; Conditional cash transfers (CCTs); Research; Vaccines,Operating Funds,,"Qualitative Surveys on the Closeout of IRD's mCCT Program. Country: Pakistan. Topics: Cash transfers,Conditional cash transfers (CCTs),Research,Vaccines. Funded by: Operating Funds"
eaf-00000,Johns Hopkins University — Global Health and Development Fund,Johns Hopkins University,545780,2025-10-01,EA Funds,GH,Global Health and Development Fund,Global Health and Development Fund,,,,EA Funds; GiveWell,,Support for the Child and Adolescent Causes of Death Estimation team's subnational cause-of-death estimation work in Nigeria.
gw-00019,"Chlorine Dispensers Pilot, Katsina",Impact Water Foundation,681279,2025-09-29,GiveWell,GH,Global Health & Development,Open Philanthropy,,Nigeria,Chlorination; Water,Open Philanthropy,,"Chlorine Dispensers Pilot, Katsina. Country: Nigeria. Topics: Chlorination,Water. Funded by: Open Philanthropy"
gw-00020,Procurement of Ready-to-Use Therapeutic Food in Northern Nigeria,Action Against Hunger USA,1393869,2025-09-22,GiveWell,GH,Global Health & Development,All Grants Fund,,Nigeria,Nutrition; Malnutrition,All Grants Fund,,"Procurement of Ready-to-Use Therapeutic Food in Northern Nigeria. Country: Nigeria. Topics: Nutrition,Malnutrition. Funded by: All Grants Fund"
gw-00021,Syphilis Screening and Treatment in Pregnancy in Côte d'Ivoire,Evidence Action,8469315,2025-09-10,GiveWell,GH,Global Health & Development,All Grants Fund,,Côte d’Ivoire,"""Maternal; neonatal; and child health""; Syphilis; Technical assistance",All Grants Fund; Doneer Effectief,,"Syphilis Screening and Treatment in Pregnancy in Côte d'Ivoire. Country: Côte d’Ivoire. Topics: ""Maternal, neonatal, and child health"",Syphilis,Technical assistance. Funded by: All Grants Fund,Doneer Effectief"
gw-00022,Procurement of Artemisinin-Based Combination Therapies for Malaria,"Clinton Health Access Initiative, Inc.",817954,2025-09-08,GiveWell,GH,Global Health & Development,Effektiv Spenden,,Malawi,Malaria,Effektiv Spenden,,Procurement of Artemisinin-Based Combination Therapies for Malaria. Country: Malawi. Topics: Malaria. Funded by: Effektiv Spenden
gw-00023,Insecticide-Treated Net Durability Survey,Population Services International,259820,2025-09-05,GiveWell,GH,Global Health & Development,All Grants Fund,,Nigeria,Malaria; Insecticide-treated nets (ITNs); Research,All Grants Fund,,"Insecticide-Treated Net Durability Survey. Country: Nigeria. Topics: Malaria,Insecticide-treated nets (ITNs),Research. Funded by: All Grants Fund"
gw-00024,Pediatric Oxygen Systems Strengthening,"Clinton Health Access Initiative, Inc.",480168,2025-09-03,GiveWell,GH,Global Health & Development,All Grants Fund,,Burkina Faso,"""Maternal; neonatal; and child health""",All Grants Fund,,"Pediatric Oxygen Systems Strengthening. Country: Burkina Faso. Topics: ""Maternal, neonatal, and child health"". Funded by: All Grants Fund"
gw-00025,"Iron and Folic Acid (IFA) Supplementation in Bihar and Uttar Pradesh, India",Evidence Action,7795355,2025-08-21,GiveWell,GH,Global Health & Development,Open Philanthropy,,India,Nutrition; Iron; Supplementation,Open Philanthropy,,"Iron and Folic Acid (IFA) Supplementation in Bihar and Uttar Pradesh, India. Country: India. Topics: Nutrition,Iron,Supplementation. Funded by: Open Philanthropy"
gw-00027,Beneficiary Survey,Innovations for Poverty Action,273127,2025-08-20,GiveWell,GH,Global Health & Development,All Grants Fund,,Nigeria,Research,All Grants Fund,,Beneficiary Survey. Country: Nigeria. Topics: Research. Funded by: All Grants Fund
gw-00026,Annual Vaccination Coverage Surveys in South Sudan,Asante Research Institute L3C,1732430,2025-08-20,GiveWell,GH,Global Health & Development,Board Designated,,South Sudan,Research; Vaccines,Board Designated,,"Annual Vaccination Coverage Surveys in South Sudan. Country: South Sudan. Topics: Research,Vaccines. Funded by: Board Designated"
gw-00028,Study of Vitamin A Fortification in Indonesia,Universität Basel,9860,2025-08-20,GiveWell,GH,Global Health & Development,Board Designated,,Indonesia,Fortification; Vitamin A supplementation (VAS),Board Designated,https://www.givewell.org/research/grants/University-of-Basel-Scoping-the-Feasibility-of-Measuring-Under-5-Mortality-Effects-of-Vitamin-A-Fortification-Program-August-2025,"Study of Vitamin A Fortification in Indonesia. Country: Indonesia. Topics: Fortification,Vitamin A supplementation (VAS). Funded by: Board Designated"
gw-00029,Procurement of Injectable Artesunate,PATH,617100,2025-08-15,GiveWell,GH,Global Health & Development,Open Philanthropy,,Mozambique,Malaria,Open Philanthropy,,Procurement of Injectable Artesunate. Country: Mozambique. Topics: Malaria. Funded by: Open Philanthropy
gw-00030,"Non-Net Costs for Insecticide-Treated Nets Campaign in Ituri, DRC in 2026",Against Malaria Foundation,9627247,2025-08-15,GiveWell,GH,Global Health & Development,Top Charities Fund,,Democratic Republic of the Congo,Malaria; Insecticide-treated nets (ITNs),Top Charities Fund; All Grants Fund,,"Non-Net Costs for Insecticide-Treated Nets Campaign in Ituri, DRC in 2026. Country: Democratic Republic of the Congo. Topics: Malaria,Insecticide-treated nets (ITNs). Funded by: Top Charities Fund,All Grants Fund"
gw-00032,Azithromycin MDA Procurement,Gates Philanthropy Partners,7130884,2025-08-13,GiveWell,GH,Global Health & Development,All Grants Fund,,Burkina Faso,Antibiotics,All Grants Fund,,Azithromycin MDA Procurement. Country: Burkina Faso. Topics: Antibiotics. Funded by: All Grants Fund
gw-00033,Layering of Azithromycin Mass Drug Administration with Vitamin A Supplementation,Helen Keller International,7125424,2025-08-13,GiveWell,GH,Global Health & Development,Open Philanthropy,,Burkina Faso,Antibiotics,Open Philanthropy; Effektiv Spenden,,"Layering of Azithromycin Mass Drug Administration with Vitamin A Supplementation. Country: Burkina Faso. Topics: Antibiotics. Funded by: Open Philanthropy,Effektiv Spenden"
gw-00034,Scoping Work for an RCT on Malaria Chemoprevention,Liverpool School of Tropical Medicine,69050,2025-07-31,GiveWell,GH,Global Health & Development,Board Designated,,Malawi,Malaria; Research; Seasonal malaria chemoprevention (SMC),Board Designated,https://www.givewell.org/research/grants/Liverpool-School-of-Tropical-Medicine-Scoping-Work-for-an-RCT-on-Malaria-Chemoprevention-August-2025,"Scoping Work for an RCT on Malaria Chemoprevention. Country: Malawi. Topics: Malaria,Research,Seasonal malaria chemoprevention (SMC). Funded by: Board Designated"
gw-00035,Support for Travel Awards,American Society of Tropical Medicine and Hygiene,60000,2025-07-26,GiveWell,GH,Global Health & Development,Board Designated,,,Malaria,Board Designated,https://www.givewell.org/research/grants/American-Society-of-Tropical-Medicine-and-Hygiene-Support-for-Travel-Awards-July-2025,Support for Travel Awards. Topics: Malaria. Funded by: Board Designated
gw-00036,Pilot Survey of Consumers of Fortify Health's Open-Market Fortified Wheat Flour,ID Insight Inc,50538,2025-07-25,GiveWell,GH,Global Health & Development,Board Designated,,India,Nutrition; Research,Board Designated,,"Pilot Survey of Consumers of Fortify Health's Open-Market Fortified Wheat Flour. Country: India. Topics: Nutrition,Research. Funded by: Board Designated"
gw-00037,"Vitamin A Supplementation in Sokoto and Kebbi States, Nigeria",Nutrition International,3879606,2025-07-25,GiveWell,GH,Global Health & Development,All Grants Fund,,Nigeria,Nutrition; Supplementation; Vitamin A supplementation (VAS),All Grants Fund; Doneer Effectief; Individual donor,,"Vitamin A Supplementation in Sokoto and Kebbi States, Nigeria. Country: Nigeria. Topics: Nutrition,Supplementation,Vitamin A supplementation (VAS). Funded by: All Grants Fund,Doneer Effectief,Individual donor"
gw-00038,RCT of Noora Health’s Maternal and Neonatal Health Care Companion Program,Agency Fund,3893148,2025-07-24,GiveWell,GH,Global Health & Development,Board Designated,,India,"""Maternal; neonatal; and child health""; Research",Board Designated,,"RCT of Noora Health’s Maternal and Neonatal Health Care Companion Program. Country: India. Topics: ""Maternal, neonatal, and child health"",Research. Funded by: Board Designated"
gw-00039,Evaluation of Oral Rehydration Solution and Zinc Distribution Pilot in Chad,Clear Solutions,81573,2025-07-16,GiveWell,GH,Global Health & Development,Open Philanthropy,,Chad,Oral rehydration solution (ORS),Open Philanthropy,https://www.givewell.org/research/grants/Clear-Solutions-Evaluation-of-Oral-Rehydration-Solution-and-Zinc-Distribution-Pilot-in-Chad-July-2025,Evaluation of Oral Rehydration Solution and Zinc Distribution Pilot in Chad. Country: Chad. Topics: Oral rehydration solution (ORS). Funded by: Open Philanthropy
gw-00040,Increasing Coverage of Zero-Dose and Under-Immunized Children in South Sudan,Malaria Consortium,5487627,2025-07-14,GiveWell,GH,Global Health & Development,All Grants Fund,,South Sudan,Vaccines,All Grants Fund; Individual donor,,"Increasing Coverage of Zero-Dose and Under-Immunized Children in South Sudan. Country: South Sudan. Topics: Vaccines. Funded by: All Grants Fund,Individual donor"
gw-00041,In-Line Chlorination Pilots,International Rescue Committee,4929367,2025-07-10,GiveWell,GH,Global Health & Development,All Grants Fund,,"Chad,Nigeria,Somalia",Chlorination; Water,All Grants Fund,,"In-Line Chlorination Pilots. Country: Chad,Nigeria,Somalia. Topics: Chlorination,Water. Funded by: All Grants Fund"
gw-00042,In-Line Chlorination Pilot,Watalux SA,666594,2025-07-10,GiveWell,GH,Global Health & Development,Board Designated,,Madagascar,Chlorination; Water,Board Designated,,"In-Line Chlorination Pilot. Country: Madagascar. Topics: Chlorination,Water. Funded by: Board Designated"
gw-00043,In-Line Chlorination Pilots,UNICEF USA,7267577,2025-07-10,GiveWell,GH,Global Health & Development,All Grants Fund,,"Madagascar,Nigeria,Somalia",Chlorination; Water,All Grants Fund,,"In-Line Chlorination Pilots. Country: Madagascar,Nigeria,Somalia. Topics: Chlorination,Water. Funded by: All Grants Fund"
gw-00044,Procurement of Malaria Rapid Diagnostic Tests,"Clinton Health Access Initiative, Inc.",842400,2025-07-09,GiveWell,GH,Global Health & Development,Effektiv Spenden,,Nigeria,Malaria,Effektiv Spenden,,Procurement of Malaria Rapid Diagnostic Tests. Country: Nigeria. Topics: Malaria. Funded by: Effektiv Spenden
gw-00045,Azithromycin MDA Workshop,Helen Keller International,13480,2025-07-08,GiveWell,GH,Global Health & Development,Board Designated,,Burkina Faso,Antibiotics,Board Designated,,Azithromycin MDA Workshop. Country: Burkina Faso. Topics: Antibiotics. Funded by: Board Designated
gw-00046,Community-Based Management of Acute Malnutrition and Health Services in Somalia,Concern Worldwide US Inc,2962926,2025-07-07,GiveWell,GH,Global Health & Development,Open Philanthropy,,Somalia,,Open Philanthropy,,Community-Based Management of Acute Malnutrition and Health Services in Somalia. Country: Somalia. Funded by: Open Philanthropy
eaf-00001,(Anonymous) — Long-Term Future Fund,(Anonymous),100000,2025-07-01,EA Funds,LTXR,Long-Term Future Fund,Long-Term Future Fund,,,,,,Investigating steganographic reasoning in LLM agents via AutoGen-style paraphrased communication benchmarks
eaf-00002,University of Oxford — Global Health and Development Fund,University of Oxford,152140.06,2025-07-01,EA Funds,GH,Global Health and Development Fund,Global Health and Development Fund,,,,,,Funding for a study comparing iron bioavailability across sources among pregnant women in Kenya.
sff-00072,SecureBio — General support,SecureBio,754000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Round: SFF-2025. Source: Jaan Tallinn
sff-00044,Lightcone Infrastructure — General support,Lightcone Infrastructure,661000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: Lightcone Infrastructure, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00015,Catalyze Impact — General support of Catalyze Impact,Catalyze Impact,74000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Catalyze Impact. Receiving charity: Ashgro, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00008,Alignment Ecosystem Development — General support of Alignment Ecosystem Development,Alignment Ecosystem Development,91000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Alignment Ecosystem Development. Receiving charity: Ashgro, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00042,John Wentworth — General support of research led by John Wentworth,John Wentworth,258000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of research led by John Wentworth. Receiving charity: Lightcone Infrastructure, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00023,Centre for the Governance of AI (GovAI) — General support,Centre for the Governance of AI (GovAI),60000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: Centre for the Governance of AI, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00051,Metaculus — General support,Metaculus,750000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: Metaculus, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00035,FAR AI — General support,FAR AI,200000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: FAR AI, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00062,Palisade Research — General support,Palisade Research,10000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Round: SFF-2025. Source: Jaan Tallinn
sff-00075,Simon Institute for Longterm Governance — General support,Simon Institute for Longterm Governance,400000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Round: SFF-2025. Source: Jaan Tallinn
sff-00034,FABRIC — General support,FABRIC,10000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: FABRIC Labs, z.s.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00000,Agent Foundations Field Network (AFFINE) [Algorithm Design] — General support of Algorithm Design,Agent Foundations Field Network (AFFINE) [Algorithm Design],79000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Algorithm Design. Receiving charity: Ashgro, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00001,Agent Foundations Field Network (AFFINE) [Technical Research] — General support of Technical Research,Agent Foundations Field Network (AFFINE) [Technical Research],165000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Technical Research. Receiving charity: Ashgro, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00002,AI & Democracy Foundation — General support,AI & Democracy Foundation,195000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: Thoughtful Tech Project, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00003,AI Futures Project — General support,AI Futures Project,1535000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Round: SFF-2025. Source: Jaan Tallinn
sff-00004,AI Lab Watch — General support of AI Lab Watch,AI Lab Watch,371000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of AI Lab Watch. Receiving charity: Lightcone Infrastructure, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00005,AI Policy Institute (AIPI) — General support of AI Policy Institute,AI Policy Institute (AIPI),1635000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support of AI Policy Institute. Receiving charity: The Hack Foundation. Round: SFF-2025. Source: Jaan Tallinn
sff-00006,AI Safety Camp — General support of AI Safety Camp,AI Safety Camp,90000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of AI Safety Camp. Receiving charity: Ashgro, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00007,AI Standards Lab and Holtman Systems Research — General support of AI Standards Lab and Holtman Systems Research,AI Standards Lab and Holtman Systems Research,228000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of AI Standards Lab and Holtman Systems Research. Receiving charity: Players Philanthropy Fund, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00009,Alignment in Complex Systems Research Group (ACS Research) — General support of Alignment in Complex Systems Research Group,Alignment in Complex Systems Research Group (ACS Research),400000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Alignment in Complex Systems Research Group. Receiving charity: Epistea, z.s.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00010,Alliance to Feed the Earth in Disasters (ALLFED) — General support,Alliance to Feed the Earth in Disasters (ALLFED),30000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Receiving charity: ALLFED Institute. Round: SFF-2025. Source: Jaan Tallinn
sff-00011,Amplifying AI Safety — General support of Amplifying AI Safety,Amplifying AI Safety,30000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Amplifying AI Safety. Receiving charity: Epistea, z.s.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00012,Association for Long Term Existence and Resilience (ALTER) — General support,Association for Long Term Existence and Resilience (ALTER),60000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Receiving charity: Association for Long Term Existence and Resilience. Round: SFF-2025. Source: Jaan Tallinn
sff-00013,Augur — General support,Augur,160000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Receiving charity: Augur LLC. Round: SFF-2025. Source: Jaan Tallinn
sff-00014,BERI-CLTC Collaboration — General support of BERI-CLTC Collaboration,BERI-CLTC Collaboration,141000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support of BERI-CLTC Collaboration. Receiving charity: Berkeley Existential Risk Initiative. Round: SFF-2025. Source: Jaan Tallinn
sff-00016,Center for AI Safety (CAIS) — General support,Center for AI Safety (CAIS),289000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: Center for AI Safety, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00017,Center for AI Safety Action Fund (CAIS AF) — General support,Center for AI Safety Action Fund (CAIS AF),772000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: Center for AI Safety Action Fund, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00018,Center for Humane Technology (CHT) — General support,Center for Humane Technology (CHT),468000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Receiving charity: Center for Humane Technology. Round: SFF-2025. Source: Jaan Tallinn
sff-00019,Center on Long-Term Risk (CLR) — General support,Center on Long-Term Risk (CLR),200000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support. Receiving charity: Center on Long-Term Risk. Round: SFF-2025. Source: Jaan Tallinn
sff-00020,Centre for AI Security and Access (CASA) — General support of Centre for AI Security and Access,Centre for AI Security and Access (CASA),325000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,General support of Centre for AI Security and Access. Receiving charity: Rethink Priorities. Round: SFF-2025. Source: Jaan Tallinn
sff-00021,Centre for Effective Altruism (CEA) — General support of Centre for Effective Altruism,Centre for Effective Altruism (CEA),117000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Centre for Effective Altruism. Receiving charity: Effective Ventures Foundation USA, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00022,Centre for Long-Term Resilience (CLTR) — General support of Centre for Long-Term Resilience,Centre for Long-Term Resilience (CLTR),527000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Centre for Long-Term Resilience. Receiving charity: Founders Pledge, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00024,Civic AI Security Program (CivAI) — General support,Civic AI Security Program (CivAI),600000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support. Receiving charity: Civic AI Security Program, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00025,Compassion in Machine Learning (CaML) — General support of Compassion in Machine Learning,Compassion in Machine Learning (CaML),20000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Compassion in Machine Learning. Receiving charity: Players Philanthropy Fund, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
sff-00026,Computational Rational Agents Laboratory (CORAL) — General support of Computational Rational Agents Laboratory,Computational Rational Agents Laboratory (CORAL),140000,2025-07-01,SFF,LTXR,Long-Term & X-Risk,Jaan Tallinn,,,,,,"General support of Computational Rational Agents Laboratory. Receiving charity: Ashgro, Inc.. Round: SFF-2025. Source: Jaan Tallinn"
